mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,prfstate,openrun,SGG
PF198421,사이 [대구],2022.10.06,2022.10.07,엑터스토리,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198421_220920_114431.PNG,연극,공연예정,N,남구
PF198419,"제4회 실험극 페스티벌, 작작zoom하자: 춤으로 만나는 천국의 나무",2022.11.18,2022.11.20,골목실험극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198419_220920_111002.jpg,무용,공연예정,N,남구
PF198418,콜렉터 [대구],2022.09.20,2022.09.25,우전소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198418_220920_110550.jpg,연극,공연중,N,남구
PF198200,꽃마리 양과자점 [대구],2022.10.19,2022.10.30,소극장 소금창고,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198200_220915_133337.gif,연극,공연예정,N,남구
PF197744,"셜록홈즈 시즌1, 바스커빌가의 개 [대구]",2022.10.13,2022.10.16,한울림소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197744_220907_095505.jpg,뮤지컬,공연예정,N,남구
PF197726,두평반,2022.09.20,2022.10.02,엑터스토리,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197726_220906_134019.gif,연극,공연중,N,남구
PF197628,유앤잇 [대구],2022.09.30,2022.10.09,꿈꾸는 씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197628_220905_145554.gif,뮤지컬,공연예정,N,남구
PF197538,가장 완벽한 연애 [대구],2022.10.01,2022.10.30,소극장 길,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197538_220902_124744.gif,연극,공연예정,N,남구
PF197498,후설 [대구],2022.10.15,2022.10.15,대덕문화전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197498_220902_112229.PNG,연극,공연예정,N,남구
PF197473,옥상 위 카우보이 [대구],2022.10.19,2022.10.23,예전아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197473_220902_101518.gif,연극,공연예정,N,남구
PF198368,가을 & 멜로디: 마중 [대구],2022.10.15,2022.10.15,어울아트센터(구. 대구북구문예회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF198368_220919_142625.png,클래식,공연예정,N,북구
PF197811,두들파티 [대구],2022.10.01,2022.10.01,어울아트센터(구. 대구북구문예회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF197811_220908_102513.jpg,국악,공연예정,N,북구
PF197632,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [대구(앵콜)],2022.11.19,2022.11.20,대구보건대 인당아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197632_220905_150710.gif,뮤지컬,공연예정,N,북구
PF197623,"유망: 연극, 동물농장 [대구]",2022.10.21,2022.10.22,어울아트센터(구. 대구북구문예회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF197623_220905_144733.PNG,연극,공연예정,N,북구
